0,1,2,3
0,0,9,0
0,4,2,1
0,6,8,1
0,10,4,1
0,6,1,1
0,11,0,1
0,2,0,1
0,8,7,1
0,11,6,1
0,10,1,1
0,6,1,1
0,4,6,1
0,2,8,1
0,4,6,1
0,11,12,1
0,4,5,1
0,6,3,1
0,7,9,1
0,2,5,1
0,12,1,1
0,7,2,1
0,15,0,1
0,6,3,1
0,14,6,1
0,2,2,1
0,15,4,1
0,11,2,1
0,3,6,1
0,14,12,1
0,7,3,1
0,7,2,1
0,7,5,1
0,6,1,1
0,6,3,1
0,2,9,1
0,7,1,1
0,10,1,1
0,8,5,1
0,10,2,1
0,14,1,1
0,8,1,1
0,7,9,1
0,3,12,1
0,4,6,1
0,3,4,1
0,6,9,1
0,11,1,1
0,14,2,1
0,10,1,1
0,0,1,1
0,15,2,1
0,2,7,1
0,4,0,1
0,11,4,1
0,2,3,1
0,4,12,1
0,3,8,1
0,14,1,1
0,3,1,1
0,8,2,1
0,14,4,1
0,4,1,1
0,6,7,1
0,11,1,1
0,10,12,1
0,7,5,1
0,15,2,1
0,3,9,1
0,6,1,1
0,10,3,1
0,15,2,1
0,0,4,1
0,11,5,1
0,4,4,1
0,4,7,1
0,6,1,1
0,7,2,1
0,4,3,1
0,2,5,1
0,6,4,1
0,2,8,1
0,14,0,1
0,14,4,1
0,14,4,1
0,11,2,1
0,12,2,1
0,3,12,1
0,6,7,1
0,0,2,1
0,7,3,1
0,8,1,1
0,12,1,1
0,7,1,1
0,12,4,1
0,14,8,1
0,14,5,1
0,15,9,0
0,4,9,0
0,2,3,0
0,10,1,0
0,14,1,0
0,0,2,0
0,4,3,0
0,4,4,1
0,11,4,1
0,11,4,1
0,6,8,1
0,6,4,1
0,7,9,1
0,10,4,1
0,4,2,1
0,14,9,1
0,12,4,1
0,12,12,1
0,6,7,1
0,3,5,1
0,11,0,1
0,2,3,1
0,6,1,1
0,10,2,1
0,0,1,1
0,0,5,1
0,15,9,1
0,4,5,1
0,15,6,1
0,3,0,1
0,8,1,1
0,7,7,1
0,14,8,1
0,3,7,1
0,14,1,1
0,2,6,1
0,15,4,1
0,2,1,1
0,8,1,1
0,7,9,1
0,0,3,1
0,15,1,1
0,2,8,1
0,3,2,1
0,10,6,1
0,6,1,1
0,6,1,1
0,8,1,1
0,3,7,1
0,12,4,1
0,8,9,1
0,11,2,1
0,2,3,1
0,6,1,1
1,1,1,1
1,15,12,1
1,4,10,1
1,8,1,1
1,13,4,1
1,0,1,1
1,11,11,1
1,0,9,1
1,8,12,1
1,6,1,1
1,11,9,1
1,4,1,1
1,10,2,1
1,14,9,1
1,4,2,1
1,0,9,1
1,4,0,1
1,0,1,1
1,4,1,1
1,14,9,1
1,6,9,1
1,3,11,1
1,3,4,1
1,6,1,1
1,9,0,1
1,13,9,1
1,4,9,1
1,10,0,1
1,10,1,1
1,8,1,1
1,14,12,1
1,15,4,1
1,15,12,1
1,15,2,1
1,0,9,1
1,14,0,1
1,3,0,1
1,13,1,1
1,13,4,1
1,11,10,1
1,4,9,1
1,6,12,1
1,10,9,1
1,8,1,1
1,4,9,1
1,13,9,1
1,4,1,1
1,5,3,1
1,13,4,1
1,0,9,1
1,10,1,1
1,6,0,1
1,14,3,1
1,4,1,1
1,6,9,1
1,14,9,1
1,10,2,1
1,4,9,1
1,11,4,1
1,6,0,1
1,4,5,1
1,6,0,1
1,10,1,1
1,6,1,1
1,8,4,1
1,6,9,1
1,4,10,1
1,15,10,1
1,5,12,1
1,8,3,1
1,13,9,1
1,8,3,1
1,14,3,1
1,9,3,1
1,8,1,1
1,6,1,1
1,5,1,1
1,3,1,1
1,3,2,1
1,4,1,1
1,14,10,1
1,6,9,1
1,4,9,1
1,9,9,1
1,8,2,1
1,3,4,1
1,6,2,1
1,1,3,1
1,6,9,1
1,13,1,1
1,14,9,1
1,8,9,1
1,1,12,1
1,4,9,1
1,5,3,1
1,4,9,1
1,13,4,0
1,3,4,0
1,13,4,0
1,6,9,0
1,1,5,0
1,10,11,0
1,9,1,0
1,10,10,0
1,4,1,1
1,14,0,1
1,8,3,1
1,8,4,1
1,14,1,1
1,3,2,1
1,11,11,1
1,4,4,1
1,9,5,1
1,8,1,1
1,4,1,1
1,14,5,1
1,3,11,1
1,13,4,1
1,0,1,1
1,10,2,1
1,11,11,1
1,4,5,1
1,4,2,1
1,1,1,1
1,1,3,1
1,6,9,1
1,15,9,1
1,10,9,1
1,3,4,1
1,8,1,1
1,8,9,1
1,11,2,1
1,8,3,1
1,11,12,1
1,0,9,1
1,6,10,1
1,4,10,1
1,4,9,1
1,9,1,1
1,14,5,1
1,10,1,1
1,8,5,1
1,6,11,1
1,6,0,1
1,5,9,1
1,6,5,1
1,6,0,1
1,15,1,1
1,1,1,1
1,15,11,1
